feature_ID	mz	rtime
101.1157431_136.0433427	101.1157431	136.0433427
101.5090573_169.8193486	101.5090573	169.8193486
101.5119803_215.2884399	101.5119803	215.2884399
101.5278826_160.4690964	101.5278826	160.4690964
101.8486049_190.5378344	101.8486049	190.5378344
102.010333_254.8395133	102.010333	254.8395133
102.0137369_243.9520477	102.0137369	243.9520477
102.0341545_162.6074947	102.0341545	162.6074947
102.0552606_142.7655586	102.0552606	142.7655586
102.0634518_278.2662237	102.0634518	278.2662237
102.0916609_222.2656603	102.0916609	222.2656603
102.0997551_273.7160308	102.0997551	273.7160308
102.1280367_99.48873204	102.1280367	99.48873204
102.5088136_202.9177472	102.5088136	202.9177472
102.5326504_167.4649554	102.5326504	167.4649554
102.5358195_173.8714275	102.5358195	173.8714275
102.9705904_284.4340804	102.9705904	284.4340804
103.0321584_166.3723547	103.0321584	166.3723547
103.0393022_263.8780949	103.0393022	263.8780949
103.050629_150.3340688	103.050629	150.3340688
103.0545888_99.00004943	103.0545888	99.00004943
103.0586209_117.835049	103.0586209	117.835049
103.0756748_278.8456623	103.0756748	278.8456623
103.0869349_275.4383153	103.0869349	275.4383153
103.095001_269.0620709	103.095001	269.0620709
103.1313873_61.05665004	103.1313873	61.05665004
103.823763_96.10143604	103.823763	96.10143604
103.9559319_138.6784966	103.9559319	138.6784966
104.0305563_168.0506731	104.0305563	168.0506731
104.0709106_127.053233	104.0709106	127.053233
104.0875956_105.3185187	104.0875956	105.3185187
104.1072554_104.8753344	104.1072554	104.8753344
104.1269863_104.0052746	104.1269863	104.0052746
104.3918443_101.2663271	104.3918443	101.2663271
104.9926166_62.0485435	104.9926166	62.0485435
105.0165136_180.8486294	105.0165136	180.8486294
105.0338449_267.3317629	105.0338449	267.3317629
105.0338676_30.28922411	105.0338676	30.28922411
105.0426557_74.1598673	105.0426557	74.1598673
105.0701981_272.2959156	105.0701981	272.2959156
105.0702347_30.92245771	105.0702347	30.92245771
105.0743553_137.3083036	105.0743553	137.3083036
105.0913343_265.098427	105.0913343	265.098427
105.0913792_30.77657794	105.0913792	30.77657794
105.1043512_105.2665373	105.1043512	105.2665373
105.1106905_104.1822096	105.1106905	104.1822096
105.1135405_104.1451216	105.1135405	104.1451216
105.9541217_102.1288641	105.9541217	102.1288641
106.0502165_119.4755077	106.0502165	119.4755077
106.1115598_104.1202179	106.1115598	104.1202179
106.1140112_103.3624993	106.1140112	103.3624993
106.9509219_96.04347802	106.9509219	96.04347802
106.999328_62.00131447	106.999328	62.00131447
107.0258287_159.2570113	107.0258287	159.2570113
107.0494673_278.834791	107.0494673	278.834791
107.0494804_100.8385813	107.0494804	100.8385813
107.0534921_130.6441215	107.0534921	130.6441215
107.0656707_142.0954968	107.0656707	142.0954968
107.0705885_257.5867346	107.0705885	257.5867346
107.0788053_125.0918782	107.0788053	125.0918782
107.0858579_258.2433971	107.0858579	258.2433971
107.5176432_149.4587288	107.5176432	149.4587288
107.9507563_279.6592392	107.9507563	279.6592392
107.9670871_37.68820398	107.9670871	37.68820398
108.0152195_171.2067912	108.0152195	171.2067912
108.0192794_192.1625386	108.0192794	192.1625386
108.0231202_150.8681553	108.0231202	150.8681553
108.0811042_274.7602881	108.0811042	274.7602881
108.5178036_180.7335731	108.5178036	180.7335731
108.5234838_160.0161046	108.5234838	160.0161046
108.5366711_158.9000152	108.5366711	158.9000152
108.5367185_276.6472016	108.5367185	276.6472016
108.5710556_167.6254582	108.5710556	167.6254582
108.9490566_93.22805203	108.9490566	93.22805203
109.0227245_145.6603583	109.0227245	145.6603583
109.0651589_266.2223517	109.0651589	266.2223517
109.1015158_247.284155	109.1015158	247.284155
109.5156289_175.6203978	109.5156289	175.6203978
109.5219669_132.8682157	109.5219669	132.8682157
109.5243908_146.9972047	109.5243908	146.9972047
109.7124341_173.5516289	109.7124341	173.5516289
109.998916_154.0859717	109.998916	154.0859717
110.0128393_159.2137317	110.0128393	159.2137317
110.0203122_146.8070055	110.0203122	146.8070055
110.0417684_149.4983231	110.0417684	149.4983231
110.0716187_162.357747	110.0716187	162.357747
110.3295575_164.5323883	110.3295575	164.5323883
110.5189241_145.281325	110.5189241	145.281325
110.5219954_146.042889	110.5219954	146.042889
110.9988594_151.4829143	110.9988594	151.4829143
111.0205288_156.9246581	111.0205288	156.9246581
111.023597_159.7399631	111.023597	159.7399631
111.0394651_166.6425922	111.0394651	166.6425922
111.0444133_267.7848481	111.0444133	267.7848481
111.0749487_163.5726596	111.0749487	163.5726596
111.0807736_30.37425483	111.0807736	30.37425483
111.1171668_246.3020907	111.1171668	246.3020907
111.5192601_150.7875865	111.5192601	150.7875865
111.5222347_159.0270048	111.5222347	159.0270048
111.5411412_169.812233	111.5411412	169.812233
111.9686779_187.9971899	111.9686779	187.9971899
111.9847047_168.9930234	111.9847047	168.9930234
112.0182626_156.082917	112.0182626	156.082917
112.0239284_153.245707	112.0239284	153.245707
112.0360051_187.8118953	112.0360051	187.8118953
112.0621249_270.2248873	112.0621249	270.2248873
112.076013_157.3707183	112.076013	157.3707183
112.076032_276.4845854	112.076032	276.4845854
112.0872566_159.2569737	112.0872566	159.2569737
112.5199483_159.3918206	112.5199483	159.3918206
112.8960123_74.89136682	112.8960123	74.89136682
112.956215_186.8720834	112.956215	186.8720834
112.9671464_172.9294292	112.9671464	172.9294292
112.9720107_208.7258436	112.9720107	208.7258436
113.0170496_158.9002295	113.0170496	158.9002295
113.0236285_272.386849	113.0236285	272.386849
113.0348611_35.87862872	113.0348611	35.87862872
113.0352695_236.0355102	113.0352695	236.0355102
113.0600452_229.7930609	113.0600452	229.7930609
113.0712677_130.1344887	113.0712677	130.1344887
113.0905907_160.6749232	113.0905907	160.6749232
113.0964283_264.3187207	113.0964283	264.3187207
113.1076479_113.3202078	113.1076479	113.3202078
113.5187017_155.854433	113.5187017	155.854433
113.9412997_204.6588184	113.9412997	204.6588184
113.9640261_193.8939919	113.9640261	193.8939919
113.986658_199.5143969	113.986658	199.5143969
114.0169049_162.3854153	114.0169049	162.3854153
114.0438935_68.33727487	114.0438935	68.33727487
114.0553593_269.2716864	114.0553593	269.2716864
114.0665599_78.01621181	114.0665599	78.01621181
114.0736968_220.2107942	114.0736968	220.2107942
114.0916789_222.2019715	114.0916789	222.2019715
114.1281118_77.78650386	114.1281118	77.78650386
114.5255526_207.7173333	114.5255526	207.7173333
114.8930827_74.95887263	114.8930827	74.95887263
114.9566126_256.0972092	114.9566126	256.0972092
